Para ressarcir - 3 baldes de massa corrida 20kg;01-05;144,00.jpeg;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/ressarcimento/fotos/Para ressarcir - 3 baldes de massa corrida 20kg;01-05;144,00.jpeg"
Para ressarcir - Mantimentos casa;03-05;12,90.jpeg;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/ressarcimento/fotos/Para ressarcir - Mantimentos casa;03-05;12,90.jpeg"
Para ressarcir - Mantimentos casa;02-05;20,22.jpeg;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/ressarcimento/fotos/Para ressarcir - Mantimentos casa;02-05;20,22.jpeg"
Ressarcido;03-05;120,00.jpeg;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/ressarcimento/fotos/Ressarcido;03-05;120,00.jpeg"
